date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:02	710/710	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Mar%202021%2022:20:01%20GMT	https://dogeland.io/robots.txt		(from )
23:20:02	29797/29797	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2022:20:01%20GMT	https://dogeland.io/	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/index.html	(from )
23:20:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Mar%202021%2022:20:02%20GMT	http://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta2/dist/css/bootstrap.min.css	C:/Mis%20lugares%20Web/DOGELAND/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta2/dist/css/bootstrap.min.1.delayed	(from https://dogeland.io/)
23:20:03	7225/7225	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:35:59%20GMT	https://dogeland.io/files/doges.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/doges.png	(from https://dogeland.io/)
23:20:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Mar%202021%2022:20:02%20GMT	http://pro.fontawesome.com/releases/v5.10.0/css/all.css	C:/Mis%20lugares%20Web/DOGELAND/pro.fontawesome.com/releases/v5.10.0/css/all.3.delayed	(from https://dogeland.io/)
23:20:03	153402/153402	---M-Z	200	added ('OK')	text/css	etag:W/%222573a-gqO6J5BRckWFq3N+rstGLiN6o34%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta2/dist/css/bootstrap.min.css	C:/Mis%20lugares%20Web/DOGELAND/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta2/dist/css/bootstrap.min.css	(from https://dogeland.io/)
23:20:03	156228/156228	---M-Z	200	added ('OK')	text/css	etag:%22aa1272633e7e552395d147a499bad186%22	https://pro.fontawesome.com/releases/v5.10.0/css/all.css	C:/Mis%20lugares%20Web/DOGELAND/pro.fontawesome.com/releases/v5.10.0/css/all.css	(from https://dogeland.io/)
23:20:04	140225/140225	---MCZ	200	added ('OK')	text/css	date:Fri,%2012%20Mar%202021%2008:36:17%20GMT	https://dogeland.io/files/style.css	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/style.css	(from https://dogeland.io/)
23:20:04	22868/22868	---MCZ	200	added ('OK')	text/css	date:Thu,%2018%20Mar%202021%2011:33:08%20GMT	https://dogeland.io/files/custom.css?v=13	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/customf500.css	(from https://dogeland.io/)
23:20:05	12300/12300	---M-Z	200	added ('OK')	text/css	etag:%225eb03ea7-300c%22	http://cdnjs.cloudflare.com/ajax/libs/intro.js/2.9.3/introjs.css	C:/Mis%20lugares%20Web/DOGELAND/cdnjs.cloudflare.com/ajax/libs/intro.js/2.9.3/introjs.css	(from https://dogeland.io/)
23:20:05	2169/2169	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2026%20Mar%202021%2022:20:05%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	C:/Mis%20lugares%20Web/DOGELAND/translate.google.com/translate_a/element.87876.delayed	(from https://dogeland.io/)
23:20:06	849/849	---MC-	200	added ('OK')	text/javascript	date:Fri,%2026%20Mar%202021%2022:20:05%20GMT	http://www.google.com/recaptcha/api.js	C:/Mis%20lugares%20Web/DOGELAND/www.google.com/recaptcha/api.js	(from https://dogeland.io/)
23:20:06	4890/4890	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:53%20GMT	https://dogeland.io/files/cld2.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cld2.svg	(from https://dogeland.io/)
23:20:06	6067/6067	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:35:52%20GMT	https://dogeland.io/files/cld1.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/cld1.svg	(from https://dogeland.io/)
23:20:06	77553/77553	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:36:09%20GMT	https://dogeland.io/files/ind3.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/ind3.png	(from https://dogeland.io/)
23:20:07	111995/111995	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:36:10%20GMT	https://dogeland.io/files/ind7.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/ind7.png	(from https://dogeland.io/)
23:20:07	51380/51380	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:35:59%20GMT	https://dogeland.io/files/dfck2.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/dfck2.png	(from https://dogeland.io/)
23:20:07	41192/41192	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:35:59%20GMT	https://dogeland.io/files/dgnk2.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/dgnk2.png	(from https://dogeland.io/)
23:20:07	10341/10341	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:10%20GMT	https://dogeland.io/files/is1.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/is1.svg	(from https://dogeland.io/)
23:20:08	154931/154931	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:36:15%20GMT	https://dogeland.io/files/logos.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/logos.png	(from https://dogeland.io/)
23:20:08	527/527	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:01%20GMT	https://dogeland.io/files/flag_en.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_en.svg	(from https://dogeland.io/)
23:20:08	308/308	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:01%20GMT	https://dogeland.io/files/flag_de.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_de.svg	(from https://dogeland.io/)
23:20:08	175/175	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:01%20GMT	https://dogeland.io/files/flag_fr.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_fr.svg	(from https://dogeland.io/)
23:20:08	531/531	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:00%20GMT	https://dogeland.io/files/flag_cn.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_cn.svg	(from https://dogeland.io/)
23:20:09	848/848	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:02%20GMT	https://dogeland.io/files/flag_in.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_in.svg	(from https://dogeland.io/)
23:20:09	351/351	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:04%20GMT	https://dogeland.io/files/flag_tr.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_tr.svg	(from https://dogeland.io/)
23:20:09	207/207	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:03%20GMT	https://dogeland.io/files/flag_ru.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_ru.svg	(from https://dogeland.io/)
23:20:09	50149/50149	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:02%20GMT	https://dogeland.io/files/flag_es.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_es.svg	(from https://dogeland.io/)
23:20:09	137/137	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:04%20GMT	https://dogeland.io/files/flag_uk.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_uk.svg	(from https://dogeland.io/)
23:20:10	200/200	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:03%20GMT	https://dogeland.io/files/flag_sv.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_sv.svg	(from https://dogeland.io/)
23:20:10	12996/12996	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:03%20GMT	https://dogeland.io/files/flag_pt.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_pt.svg	(from https://dogeland.io/)
23:20:10	207/207	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:02%20GMT	https://dogeland.io/files/flag_it.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_it.svg	(from https://dogeland.io/)
23:20:10	166/166	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:03%20GMT	https://dogeland.io/files/flag_ja.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/flag_ja.svg	(from https://dogeland.io/)
23:20:11	508/508	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:16%20GMT	https://dogeland.io/files/mus1.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/mus1.svg	(from https://dogeland.io/)
23:20:11	799255/799255	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:08%20GMT	https://dogeland.io/files/ind1.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/ind1.svg	(from https://dogeland.io/)
23:20:11	214060/214060	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:12%20GMT	https://dogeland.io/files/kft5.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/kft5.svg	(from https://dogeland.io/)
23:20:11	82424/82424	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2008:36:09%20GMT	https://dogeland.io/files/ind4.png	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/ind4.png	(from https://dogeland.io/)
23:20:11	397575/397575	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:08%20GMT	https://dogeland.io/files/ind2.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/ind2.svg	(from https://dogeland.io/)
23:20:12	56038/56038	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:12%20GMT	https://dogeland.io/files/ktf1.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/ktf1.svg	(from https://dogeland.io/)
23:20:12	27922/27922	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:12%20GMT	https://dogeland.io/files/ktf2.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/ktf2.svg	(from https://dogeland.io/)
23:20:12	177692/177692	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:13%20GMT	https://dogeland.io/files/ktf3.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/ktf3.svg	(from https://dogeland.io/)
23:20:12	15276/15276	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20Mar%202021%2008:36:13%20GMT	https://dogeland.io/files/ktf4.svg	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/ktf4.svg	(from https://dogeland.io/)
23:20:12	4232/4232	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2022:20:12%20GMT	https://dogeland.io/cdn-cgi/l/email-protection	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/cdn-cgi/l/email-protection.html	(from https://dogeland.io/)
23:20:13	32840/32840	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2022:20:12%20GMT	https://dogeland.io/about/privacy	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/about/privacy.html	(from https://dogeland.io/)
23:20:13	13066/13066	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2022:20:13%20GMT	https://dogeland.io/about/tos	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/about/tos.html	(from https://dogeland.io/)
23:20:13	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22605c82da-4d7%22	https://dogeland.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://dogeland.io/)
23:20:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Mar%202021%2022:20:13%20GMT	http://cdn.jsdelivr.net/npm/@popperjs/core@2.6.0/dist/umd/popper.min.js	C:/Mis%20lugares%20Web/DOGELAND/cdn.jsdelivr.net/npm/@popperjs/core@2.6.0/dist/umd/popper.min.2d.delayed	(from https://dogeland.io/)
23:20:14	1224/1224	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Mar%202021%2022:20:13%20GMT	https://dogeland.io/api/	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/api/index.html	(from https://dogeland.io/)
23:20:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Mar%202021%2022:20:14%20GMT	http://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta2/dist/js/bootstrap.min.js	C:/Mis%20lugares%20Web/DOGELAND/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta2/dist/js/bootstrap.min.2f.delayed	(from https://dogeland.io/)
23:20:15	18453/18453	---M-Z	200	added ('OK')	application/javascript	etag:W/%224815-X345IhPN9ecWFBGPsm+VIO+A35c%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.6.0/dist/umd/popper.min.js	C:/Mis%20lugares%20Web/DOGELAND/cdn.jsdelivr.net/npm/@popperjs/core@2.6.0/dist/umd/popper.min.js	(from https://dogeland.io/)
23:20:15	14054/14054	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2022:20:14%20GMT	https://dogeland.io/files/	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/index.html	(from https://dogeland.io/)
